Marke,Modell,Beschreibung,Gewicht
Mercedes,1222 AF,"nur Fahrgestell, Fernfahrer-Fahrerhaus, Automatik. VA 3960 kg, HA 2170 kg",6130
Mercedes,1222 AF,"nur Fahrgestell, große FW-Doka, mit Zwillingsbereifung",6100
Mercedes,1222 AF,"leerer Ziegler-Koffer 3,67 m, große FW-DoKa, einzelbereift 395/85-20, Rest original. VA 4300 kg, HA 2600 kg",6900
Mercedes,1224 AF,"Fahrgestell mit Doka Ziegler, 3,6 m Radstand, 18-t-Traverse und Zwillingsbereifung 10R22,5, zul. GG 13.500 kg",6400
Mercedes,1224 AF,"Fahrgestell mit Doka Metz (hohes Dach) ohne Feuerwehrausrüstung, Metz-Koffer komplett leer geräumt, ohne Boden & Dachausrüstung, 3,6 m Radstand, Zwillingsbereifung 10R22,5, zul. GG 13.500 kg, gewogen",7240
Mercedes,1428AF,"kleine Doka, 3,60 m Radstand, Fahrgestell mit 900-l-Tankanlage (3x Stahltanks) + 14.00R20 auf KAT-Felge",6820
Mercedes,1626AS,"kurzes Fahrerhaus, 3,2 m Radstand, AP-Achsen V u. H, OM402 + 8.Gang, massiv gebaute 3-m-Pritsche, 14.00R20, 300 l Diesel, unbeladen",7900
Mercedes,1729AF (AK),"WSK400 + ZF16S190, M-Fahrerhaus, TLF24/50 Glasfaser-Aufbau inkl. Pumpe + Tank (leer) ohne FW-Ausrüstung, Radstand 3.9 m, Original-Bereifung. VA 5430 kg, HA 5450 kg",10900
Mercedes,1729AF (AK),"WSK400 + ZF16S190, M-Fahrerhaus, Radstand 3.9 m, Original-Bereifung, nacktes FgSt. + Überführungskotflügel, 100 l Diesel. VA 5130 kg, HA 2810 kg",7950
Mercedes,1824,"nur Fahrgestell, S-Haus und 3,9 m Radstand, orig. 12R22,5 Bereifung",6400
Mercedes,1824,"nur Fahrgestell, M-Haus, 3,9 m Radstand, 800-l-Tankanlage, 14R20",6700
Mercedes,1935,"große Kabine mit 3,80er Radstand",7730
Mercedes,2038,"Automatik 6HP500, nur Fgst., kurzes Führerhaus, 3,8 m Radstand, Einzelbereifung 14R20 auf Tublex-Sprengringfelgen (Sonderanfertigung), 1x200 l, 1x400 l, 100 l Diesel",7054
Mercedes,LA 710,Fahrgestell (lt. kurzhauber.allrad-lkw.eu),3300
Mercedes,LA 710,"""Fahrgestell betriebsfertig"" (lt. original Betriebsanleitung)",2950
Mercedes,LA 710,"mit Nato-Koffer rustikal ausgebaut (keine Dusche/Wassertanks), Einzelbereifung 11.00R20, inkl. Reserverad, Werkzeug und vollem Tank, selbst gewogen",5460
Mercedes,LA 911,Fahrgestell (lt. kurzhauber.allrad-lkw.eu),3500
Mercedes,LA 1113,Fahrgestell (lt. kurzhauber.allrad-lkw.eu),3600
Mercedes,LA 911B,Fahrgestell (lt. kurzhauber.allrad-lkw.eu),3700
Mercedes,LA 911B,"Einzelkabine, 3,6 m Achsstand, 4x 11R20, BGS-Koffer +30 cm Höhe, 50 l im Tank, Innenausbau mit Siebdruck-Bodenplatten + paar Möbel Paulownia, gewogen",5900
Mercedes,LA 911B,"kurze Doka, 4,2 Achsstand, 385/65R22,5, ohne Aufbau & Zwischenrahmen, 130-l-Tank 1/2 gefüllt, fahrbereit, gewogen",4500
